Parent,Name,Mass,Distance,Type,Angle
,Sol,1.99E+30,0,Star,0
Sol,Mercury,3.302E+23,57909175000,Planet,-1
Sol,Venus,4.869E+24,108208930000,Planet,-1
Sol,Earth,5.972E+24,149597890000,Planet,-1
Earth,Luna,7.3476E+22,384400000,Moon,-1
Sol,Mars,6.4191E+23,227936640000,Planet,-1
Sol,Jupiter,1.8987E+27,778412010000,Planet,-1
Sol,Saturn,5.6851E+26,1426725400000,Planet,-1
Sol,Uranus,8.6849E+25,2870972200000,Planet,-1
Sol,Neptune,1.0244E+26,4498252900000,Planet,-1
Mars,Phobos,0,9000000,Moon,-1
Mars,Deimos,0,23000000,Moon,-1
Jupiter,Metis,0,128000000,Moon,-1
Jupiter,Adrastea,0,129000000,Moon,-1
Jupiter,Amalthea,0,181000000,Moon,-1
Jupiter,Thebe,0,222000000,Moon,-1
Jupiter,Io,0,422000000,Moon,-1
Jupiter,Europa,0,671000000,Moon,-1
Jupiter,Ganymede,0,1070000000,Moon,-1
Jupiter,Callisto,0,1883000000,Moon,-1
Jupiter,Themisto,0,7507000000,Moon,-1
Jupiter,Leda,0,11094000000,Moon,-1
Jupiter,Himalia,0,11480000000,Moon,-1
Jupiter,Lysithea,0,11720000000,Moon,-1
Jupiter,Elara,0,11737000000,Moon,-1
Jupiter,Ananke,0,21200000000,Moon,-1
Jupiter,Carme,0,22600000000,Moon,-1
Jupiter,Pasiphae,0,23500000000,Moon,-1
Jupiter,Sinope,0,23700000000,Moon,-1
Jupiter,Iocaste,0,20216000000,Moon,-1
Jupiter,Harpalyke,0,21132000000,Moon,-1
jupiter,Praxidike,0,20964000000,Moon,-1
Jupiter,Taygete,0,23312000000,Moon,-1
Jupiter,Chaldene,0,23387000000,Moon,-1
jupiter,Kalyke,0,23745000000,Moon,-1
Jupiter,Callirrhoe,0,24100000000,Moon,-1
Jupiter,Megaclite,0,23911000000,Moon,-1
Jupiter,Isonoe,0,23078000000,Moon,-1
Jupiter,Erinome,0,23168000000,Moon,-1
Saturn,Pan,0,134000000,Moon,-1
Saturn,Atlas,0,138000000,Moon,-1
Saturn,Prometheus,0,139000000,Moon,-1
Saturn,Pandora,0,142000000,Moon,-1
Saturn,Epimetheus,0,151000000,Moon,-1
Saturn,Janus,0,151000000,Moon,-1
Saturn,Mimas,0,186000000,Moon,-1
Saturn,Enceladus,0,238000000,Moon,-1
Saturn,Tethys,0,295000000,Moon,-1
Saturn,Telesto,0,295000000,Moon,-1
Saturn,Calypso,0,295000000,Moon,-1
Saturn,Dione,0,377000000,Moon,-1
Saturn,Helene,0,377000000,Moon,-1
Saturn,Rhea,0,527000000,Moon,-1
Saturn,Titan,0,1222000000,Moon,-1
Saturn,Hyperion,0,1481000000,Moon,-1
Saturn,Iapetus,0,3561000000,Moon,-1
Saturn,Phoebe,0,12952000000,Moon,-1
Uranus,Cordelia,0,50000000,Moon,-1
Uranus,Ophelia,0,54000000,Moon,-1
Uranus,Bianca,0,59000000,Moon,-1
Uranus,Cressida,0,62000000,Moon,-1
Uranus,Desdemona,0,63000000,Moon,-1
Uranus,Juliet,0,64000000,Moon,-1
Uranus,Portia,0,66000000,Moon,-1
Uranus,Rosalind,0,70000000,Moon,-1
Uranus,Belinda,0,75000000,Moon,-1
Uranus,Puck,0,86000000,Moon,-1
Uranus,Miranda,0,130000000,Moon,-1
Uranus,Ariel,0,191000000,Moon,-1
Uranus,Umbriel,0,266000000,Moon,-1
Uranus,Titania,0,436000000,Moon,-1
Uranus,Oberon,0,583000000,Moon,-1
Uranus,Caliban,0,7169000000,Moon,-1
Uranus,Stephano,0,7948000000,Moon,-1
Uranus,Sycorax,0,12213000000,Moon,-1
Uranus,Prospero,0,16568000000,Moon,-1
Uranus,Setebos,0,17681000000,Moon,-1
Uranus,Trinculo,0,8571000000,Moon,-1
Neptune,Naiad,0,48000000,Moon,-1
Neptune,Thalassa,0,50000000,Moon,-1
Neptune,Despina,0,53000000,Moon,-1
Neptune,Galatea,0,62000000,Moon,-1
Neptune,Larissa,0,74000000,Moon,-1
Neptune,Proteus,0,118000000,Moon,-1
Neptune,Triton,0,355000000,Moon,-1
Neptune,Nereid,0,5513000000,Moon,-1
